px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
66.3292	23.9897	3.27911	0.162315	-0.0693846	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	0.217172
66.2247	23.95	2.42486	0.137957	-0.0954632	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	0.76719
68.2674	24.3505	2.11546	0.181507	-9.27979e-05	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	0.101394
68.3639	24.3838	2.52331	0.199474	0.0143899	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	0.195831
70.8246	24.8834	2.70153	0.216203	0.016248	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.0148788
70.7852	24.8682	2.30491	0.21094	0.00936907	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0.162787
72.8926	24.7367	2.03836	-0.125777	-0.229143	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	0.215279
72.9482	24.7597	2.31889	-0.113755	-0.214888	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.0715098
74.9959	25.2235	1.96405	0.25376	0.18024	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	0.728437
74.9903	25.2197	2.0388	0.251197	0.177885	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.00597625
77.1082	24.9727	1.95946	-0.205001	-0.255617	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	0.456123
77.1297	24.9785	1.9111	-0.208717	-0.261723	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0.00365665
79.0891	25.0009	2.03549	0.0680183	0.0980948	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	0.250276
79.0948	25.0054	1.85224	0.0676809	0.0976201	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.0330507
80.8077	24.8844	1.75542	-0.0493751	-0.0438185	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.0440781
80.8601	24.8982	1.63848	-0.0467785	-0.0471766	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	0.0221412
82.6168	24.6444	1.96322	-0.168998	-0.0942825	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.0644515
82.5969	24.6369	1.69271	-0.185784	-0.112475	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.0622153
84.1674	24.5325	1.67784	-0.0370192	0.0545089	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.0534915
84.1764	24.5348	1.62026	-0.0350818	0.0549227	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.00324622
85.6414	23.8472	1.50828	-0.508392	-0.283728	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	0.183267
85.7034	23.8675	1.76205	-0.48175	-0.257074	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0.0421485
86.9358	23.5036	1.18405	-0.371961	-0.0253694	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	0.360927
87.0601	23.534	1.33939	-0.292875	0.0276503	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	0.0755624
88.8129	22.8029	2.22183	-0.434889	-0.079604	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	0.442076
88.7311	22.7759	1.75851	-0.513479	-0.156042	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	0.203041
89.5092	22.2991	0.75365	-0.575495	-0.108238	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	0.633593
89.5781	22.3103	1.11181	-0.525581	-0.071083	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	0.0630016
90.512	21.6695	1.24085	-0.608998	-0.0786441	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0.00915376
90.5944	21.6865	1.418	-0.536537	-0.0273061	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	0.0441689
91.7118	21.1058	1.35648	-0.404711	0.0669267	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0.0173682
91.7796	21.1237	1.14434	-0.374202	0.0754962	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	0.0380345
92.8504	20.9322	1.18724	-0.0494902	0.228087	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	0.0161969
92.9309	20.9508	0.986106	-0.00604584	0.251003	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	0.0580745
93.4697	20.2901	0.252599	-0.569498	-0.220996	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	0.321217
93.5528	20.3137	1.0281	-0.563644	-0.206908	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	0.224456
95.2736	19.6314	2.21964	-0.130124	0.160622	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	0.792633
95.1017	19.6193	1.12467	-0.358457	0.0100714	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	1.55376
95.5111	19.6767	0.194008	-0.0623426	0.167702	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	0.480286
95.5438	19.6714	0.740611	-0.0536263	0.174144	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0.275119
96.2598	19.2319	0.758461	-0.544713	-0.202136	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	0.0464549
96.3091	19.2439	1.00048	-0.523419	-0.182905	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	0.0320967
97.502	18.7092	1.55769	-0.308789	0.0338748	97.5286	18.727	97.45	18.506	0.868716	-0.503009	0.187622
97.4726	18.7072	1.13496	-0.372977	-0.0118955	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	0.169798
98.2145	18.3709	0.83376	-0.351019	0.00593907	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	0.0482424
98.2453	18.3752	0.881745	-0.333996	0.0158143	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	0.00484818
99.056	17.4273	1.24416	-1.10133	-0.432514	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	0.179142
99.0682	17.4811	1.67644	-0.885416	-0.218177	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	0.0904061
99.975	16.9656	0.827525	-0.645391	0.0518632	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	0.82009
100.067	16.9744	1.08432	-0.567149	0.103943	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	0.0594651
101.188	16.5194	1.36059	-0.24255	0.240747	101.204	16.5368	101.065	16.497	0.991362	-0.513687	0.0488797
101.171	16.5202	1.06165	-0.259914	0.222452	101.169	16.4353	101.065	16.497	0.991362	-0.513687	0.0766556
102.379	16.3898	1.43194	0.0774842	0.288473	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	0.0672915
102.295	16.3788	1.04206	0.0567827	0.274286	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	0.174193
102.996	15.4479	0.279941	-0.845005	-0.392927	103.003	15.353	103.119	15.4967	1.11708	-0.508169	0.523967
102.982	15.4688	1.39597	-0.819183	-0.348661	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	0.243473
104.082	15.2393	0.698197	-0.418964	0.0815176	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	0.565877
104.054	15.2116	1.27287	-0.412057	0.0845436	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	0.209551
105.533	14.4553	1.99965	-0.476876	-0.00270045	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	0.248194
105.466	14.4424	1.62442	-0.537854	-0.0581459	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	0.13391
106.818	14.0279	1.45424	-0.216723	0.169224	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	0.145477
106.755	14.0192	1.49585	-0.246626	0.151896	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	0.013948
108.085	13.666	1.46975	-0.173194	0.102548	108.084	13.6604	108.122	13.644	1.47592	-0.423202	0.00355341
108.098	13.6675	1.58055	-0.168996	0.107202	108.131	13.6844	108.122	13.644	1.47592	-0.423202	0.0116419
109.534	13.566	1.5518	0.0191209	0.157015	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	0.00520908
109.496	13.5609	1.49004	0.0114873	0.152142	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	0.00832858
111.056	12.6476	1.5502	-0.741173	-0.414323	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	0.456779
111.152	12.6862	2.24054	-0.675052	-0.331599	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	0.216646
112.889	12.4541	1.19238	-0.245555	0.146791	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	1.98571
112.898	12.4371	1.79336	-0.227136	0.155732	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	0.316917
114.793	12.5288	2.04007	0.229344	0.354963	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	0.102314
114.807	12.5327	1.88351	0.236609	0.36011	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	0.0264887
116.669	12.1527	1.50257	-0.203376	-0.154991	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	0.714039
116.723	12.1741	2.15999	-0.208176	-0.142664	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	0.379224
118.943	11.985	2.41148	-0.0502455	0.0549301	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	0.150719
118.926	11.9857	2.20784	-0.0560209	0.0508341	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	0.0430544
120.702	12.2775	1.76657	0.228229	0.207638	120.695	12.2918	120.743	12.3289	2.21139	0.128528	0.191208
120.757	12.2797	2.15497	0.227338	0.20523	120.934	12.1905	120.743	12.3289	2.21139	0.128528	0.158712
123.544	12.8388	3.27619	0.17889	0.030943	123.568	12.8297	122.95	12.5114	2.29835	0.246599	0.688361
123.441	12.8231	2.46597	0.205656	0.0507177	123.142	12.7694	122.95	12.5114	2.29835	0.246599	0.709871
124.912	12.791	1.15561	0.0390925	-0.0940999	124.894	12.7743	125.242	12.8125	2.37624	0.369827	0.901224
125.045	12.8146	2.43904	0.0308003	-0.097423	125.376	12.9964	125.242	12.8125	2.37624	0.369827	1.71542
127.841	13.3077	3.13033	0.260236	0.128354	127.853	13.3273	127.609	13.2365	2.44434	0.495787	0.428598
127.76	13.3044	2.65856	0.261538	0.136138	127.506	13.153	127.609	13.2365	2.44434	0.495787	0.238374
129.951	13.7081	2.20453	0.213063	0.0105026	129.947	13.6963	130.042	13.7853	2.50232	0.621879	0.197972
130.03	13.7175	2.42186	0.202007	0.00233751	130.334	13.781	130.042	13.7853	2.50232	0.621879	0.0664868
132.097	14.4952	2.2676	0.404357	0.141376	132.092	14.507	132.53	14.458	2.55028	0.74543	0.090302
132.174	14.5011	2.69592	0.390971	0.124871	132.447	14.3423	132.53	14.458	2.55028	0.74543	0.186349
135.055	15.0649	3.09924	0.100679	-0.162796	135.074	15.0475	135.066	15.2513	2.58865	0.863795	0.557147
135.047	15.0564	2.6732	0.101073	-0.165403	135.127	14.6575	135.066	15.2513	2.58865	0.863795	0.187509
137.56	16.1807	2.69657	0.528226	0.247156	137.561	16.2147	137.639	16.1592	2.61821	0.974442	0.909457
137.599	16.177	3.10791	0.515287	0.223198	137.653	16.5145	137.639	16.1592	2.61821	0.974442	0.147756
140.32	17.0284	2.75898	0.293397	-0.0897759	140.331	17.008	140.242	17.1733	2.63994	1.07503	0.97359
140.334	17.033	2.91761	0.288508	-0.0935495	140.305	17.5379	140.242	17.1733	2.63994	1.07503	0.025921
142.892	17.984	2.83055	0.343916	0.0125126	142.888	17.9918	142.868	18.2829	2.65497	1.16346	0.0780129
142.85	17.9783	2.91494	0.343172	0.00878281	142.626	18.1458	142.868	18.2829	2.65497	1.16346	0.013441
145.394	19.1557	2.94311	0.463684	0.0880104	145.392	19.1617	145.51	19.4754	2.66445	1.23795	0.0432128
145.477	19.1668	3.09391	0.4539	0.0798453	145.789	19.3785	145.51	19.4754	2.66445	1.23795	0.0426358
148.246	20.4782	3.26298	0.444412	0.0153903	148.251	20.4754	148.163	20.7364	2.66951	1.29702	0.0429874
148.228	20.4759	2.97809	0.455775	0.030062	148.146	20.9376	148.163	20.7364	2.66951	1.29702	0.0798567
150.688	22.106	3.11648	0.636915	0.137679	150.686	22.1142	150.825	22.0502	2.67111	1.33953	0.0955952
150.683	22.1026	3.34325	0.624902	0.118424	150.649	21.8148	150.825	22.0502	2.67111	1.33953	0.0448969
153.414	23.5038	3.09947	0.440132	-0.0981284	153.422	23.4909	153.491	23.3999	2.66999	1.3647	0.579295
153.402	23.5001	2.97253	0.444992	-0.0926332	153.466	22.9115	153.491	23.3999	2.66999	1.3647	0.0159277
156.046	24.8038	3.13036	0.425719	-0.0400655	156.047	24.8084	156.159	24.7682	2.66666	1.37208	0.0313136
156.036	24.803	2.82751	0.434241	-0.0264467	156.009	25.0678	156.159	24.7682	2.66666	1.37208	0.0893914
158.894	26.0293	3.43521	0.370238	-0.0551238	158.905	26.0308	158.827	26.1372	2.66127	1.36157	0.172174
158.911	26.0321	3.16444	0.374718	-0.0463697	159.014	26.1903	158.827	26.1372	2.66127	1.36157	0.0753739
161.42	27.4179	2.91327	0.519494	0.089046	161.412	27.4256	161.493	27.4891	2.65371	1.33344	0.19759
161.453	27.4242	2.93146	0.518028	0.0888502	161.529	27.8454	161.493	27.4891	2.65371	1.33344	0.00391836
163.63	28.7721	2.58879	0.582328	0.0728971	163.625	28.7683	164.155	28.8064	2.64354	1.28825	0.0565982
163.75	28.7943	3.00654	0.550253	0.0424445	164.116	29.315	164.155	28.8064	2.64354	1.28825	0.202136
166.809	30.2111	3.7185	0.352124	-0.131499	166.828	30.2062	166.809	30.0721	2.63006	1.22694	0.404029
166.756	30.1951	2.97825	0.373827	-0.10574	166.748	29.7121	166.809	30.0721	2.63006	1.22694	0.567146
169.106	31.3646	2.64455	0.436633	0.0139683	169.097	31.3717	169.452	31.2706	2.61238	1.15075	0.156606
169.136	31.3688	2.87553	0.430524	0.00539776	169.345	30.7063	169.452	31.2706	2.61238	1.15075	0.0534001
172.16	32.3468	3.48526	0.233137	-0.14051	172.175	32.3404	172.079	32.3873	2.58945	1.06126	0.293568
172.148	32.3398	2.92954	0.23653	-0.137012	172.135	32.6666	172.079	32.3873	2.58945	1.06126	0.318946
174.649	33.4451	2.75602	0.432563	0.097215	174.643	33.4625	174.685	33.4095	2.56021	0.960341	0.414495
174.633	33.4425	2.73479	0.432341	0.096987	174.474	33.9157	174.685	33.4095	2.56021	0.960341	0.0011738
177.026	34.2143	2.55012	0.29509	-0.0688599	177.03	34.2009	177.261	34.3262	2.52363	0.850119	0.170734
