px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
65.111	32.0471	12.6406	-13.1934	-3.35732	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	275.703
75.5847	37.6912	14.931	-18.8898	-3.96566	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	6.90165e-310
66.6265	39.9575	18.0779	-20.4615	-3.91048	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	274.115
76.5577	45.2843	21.3536	-28.0196	-4.61904	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	6.90165e-310
69.3717	37.51	26.7612	-32.3766	-6.98314	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	420.55
81.6625	43.6961	31.6102	-45.1191	-8.24847	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	6.90165e-310
74.9772	36.9969	36.6005	-45.8335	-7.97307	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	540.888
84.8216	45.8458	43.2324	-61.9891	-9.41776	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	6.90165e-310
70.0274	43.7141	46.2243	-57.209	-6.90376	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	15714
78.9349	50.7437	54.6	-74.3729	-8.1547	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	6.90165e-310
76.0986	28.8158	55.7448	-69.6871	-6.34537	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	69952.7
89.5884	33.4262	65.8456	-88.5622	-7.49514	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	6.90165e-310
71.8096	55.5974	67.5092	-87.5569	-7.20836	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	102928
84.2406	60.7546	79.7416	-110.52	-8.5145	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	6.90165e-310
91.5937	35.6966	90.5284	-112.242	-9.37064	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	233554
