px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	-3.04035	0.0287602	0	8.46292	0.243462	8.6	0.25	-3.00029	0	6.9349e-310
8.44646	0.251318	-3.0365	0.0280452	-2.05407e-05	8.44818	0.251553	8.45	0.25	-3.00027	0	0.00641684
8.4294	0.246254	-2.27113	0.0390266	0.000775869	8.56759	0.241943	8.45	0.25	0	0	6.88674
8.40943	0.249849	-2.16231	0.0233652	-0.000849075	8.45582	0.253997	8.45	0.25	0	0	0.000416922
8.31716	0.248888	-2.3486	0.0203552	-0.00101271	8.42544	0.254042	8.35	0.25	-1.81979	0	0.0982389
8.22615	0.248234	-2.33084	0.0170434	-0.00182127	8.23962	0.24916	8.25	0.25	-1.81978	0	1.71179e-05
7.98663	0.22136	-3.29664	0.0817189	0.0336704	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	1.24884
7.84021	0.177937	-3.29584	0.150548	0.0720781	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	0.000150625
7.66988	0.164283	-3.37096	0.126556	0.0257085	7.61269	0.155818	7.7	0.15	-2.99982	0	0.00817632
7.5175	0.152207	-3.35589	0.113739	0.00970809	7.54016	0.159641	7.55	0.15	-2.99982	0	4.07298e-05
7.4372	0.0921033	-2.81074	0.223734	0.318166	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	0.327506
7.30341	0.044681	-2.79843	0.261114	0.35489	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	0.000100139
7.14887	0.0187076	-2.86296	0.235672	0.217945	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	0.00853328
7.0118	-0.0352169	-2.85758	0.273562	0.269801	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0.00013158
6.91551	-0.153548	-2.59773	0.499772	0.83789	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	0.165656
6.80671	-0.239981	-2.59693	0.573102	0.892977	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	0.000132631
6.69745	-0.314306	-2.61595	0.611289	0.870445	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	0.00080043
6.60365	-0.416177	-2.63777	0.689251	0.929702	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	0.000241618
6.56234	-0.587188	-2.56888	0.973924	1.44065	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	0.191212
6.50669	-0.682401	-2.53225	1.03792	1.43009	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0.000177789
6.46372	-0.848194	-2.58192	1.22014	1.62828	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	0.0400423
6.42809	-1.00117	-2.61582	1.32618	1.64921	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	0.000182928
6.32511	-1.04164	-2.38817	1.17513	1.22102	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	0.331195
6.27302	-1.18502	-2.44243	1.24649	1.22232	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	0.000237293
6.35275	-1.42093	-2.60288	1.58673	1.65744	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	0.501961
6.35983	-1.58645	-2.66287	1.6822	1.65996	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	0.000260873
6.30807	-1.62886	-2.24405	1.61416	1.42088	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	0.307291
6.29782	-1.79058	-2.37161	1.67281	1.40036	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	0.0014582
6.33781	-1.97282	-2.63245	1.79169	1.47334	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	0.0652086
6.36197	-2.13224	-2.71181	1.85532	1.45922	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	0.000584772
6.35889	-2.2381	-2.43138	1.87338	1.36871	6.32593	-2.40018	6.35	-2.4	0	-2.72613	0.116046
6.38584	-2.40996	-2.53457	1.92589	1.34171	6.34927	-2.55175	6.35	-2.55	0	-2.72611	0.00114626
6.43398	-2.56535	-2.6087	1.9907	1.3324	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851	0.00130186
6.47846	-2.73186	-2.6839	2.03964	1.30638	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851	0.000796608
6.50083	-2.82899	-2.42651	2.0714	1.2609	6.46536	-3.00452	6.45	-3	0	-2.99754	0.0809178
6.53077	-2.98845	-2.51942	2.09379	1.21989	6.44119	-3.14955	6.45	-3.15	0	-2.99754	0.00185165
6.59272	-3.13514	-2.58239	2.14299	1.20269	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312	0.000581236
6.64046	-3.30494	-2.65839	2.16693	1.16214	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312	0.00177837
6.72694	-3.45936	-2.80776	2.21842	1.15313	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583	0.0140182
6.8038	-3.62359	-2.86622	2.25102	1.1237	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581	0.00105493
6.87523	-3.7391	-2.68854	2.29463	1.10267	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396	0.0363738
6.94414	-3.90228	-2.74416	2.31252	1.06309	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393	0.00178032
7.01542	-4.01265	-2.59449	2.35135	1.04294	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801	0.0260128
7.07397	-4.17367	-2.63722	2.35619	0.995524	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799	0.00260322
7.12695	-4.25519	-2.29012	2.39294	0.975332	7.05156	-4.49706	7	-4.45	0.910054	-1.8201	0.122514
7.17777	-4.39429	-2.3152	2.39767	0.931863	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201	0.00233532
7.25652	-4.49586	-2.30174	2.43183	0.916448	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489	0.00059048
7.30441	-4.64757	-2.32972	2.42167	0.8627	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489	0.00371905
7.42412	-4.78565	-2.63953	2.44942	0.84675	7.3138	-5.05204	7.25	-5	1.81907	-2.72861	0.0854824
7.48224	-4.94669	-2.65339	2.43273	0.790602	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861	0.00395291
7.56455	-5.05106	-2.56809	2.45611	0.772261	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	0.00898557
7.6184	-5.21884	-2.58599	2.42951	0.710383	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	0.00456668
7.71544	-5.33108	-2.58306	2.45141	0.694769	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	0.00105754
7.77985	-5.4837	-2.59452	2.4341	0.645003	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	0.00287686
7.86259	-5.58393	-2.51853	2.45233	0.629348	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	0.00694636
7.91126	-5.74554	-2.52413	2.41981	0.569247	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	0.00415013
8.04246	-5.88369	-2.94711	2.43442	0.558555	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	0.170772
8.10424	-6.04757	-2.95717	2.40231	0.504404	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	0.00334991
8.20034	-6.1596	-2.80594	2.4159	0.490686	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	0.0259747
8.27495	-6.31388	-2.81199	2.39646	0.448602	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0.00192573
8.35887	-6.4168	-2.68892	2.40742	0.435781	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	0.0166147
8.41286	-6.58125	-2.69221	2.3722	0.382266	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	0.00313717
8.50653	-6.69297	-2.69796	2.38225	0.372428	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	0.00202808
8.57082	-6.84184	-2.69815	2.35903	0.333038	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0.00173536
8.64722	-6.93913	-2.64514	2.36507	0.323261	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	0.00481618
8.69177	-7.09041	-2.65264	2.32913	0.276281	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	0.00255352
8.81066	-7.22691	-2.97532	2.33756	0.273071	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	0.0996249
8.86705	-7.39083	-2.98717	2.30164	0.228103	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	0.00233468
8.93036	-7.49159	-2.63839	2.29887	0.211706	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	0.121733
8.98071	-7.6457	-2.64228	2.26697	0.172126	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	0.00177969
9.06487	-7.76219	-2.71999	2.26876	0.166436	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	0.00584114
9.1036	-7.91598	-2.7289	2.23079	0.124364	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	0.00206203
9.14542	-8.00462	-2.40124	2.22257	0.107985	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	0.107365
9.18389	-8.14907	-2.40918	2.19011	0.0732368	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0.00140815
9.26814	-8.27539	-2.59376	2.19073	0.0719543	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	0.0314657
9.296	-8.42838	-2.60997	2.14919	0.0311859	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	0.00197064
9.34255	-8.53197	-2.38062	2.13702	0.0160076	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	0.0529279
9.37143	-8.67982	-2.39416	2.10015	-0.018005	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0.0013458
9.50845	-8.87409	-3.17931	2.11843	0.00816013	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	0.589114
